name,N_n,M_u,T_q,T_r
chem_352a,820135.2971,1.0,5341.0,6559.0
chem_352b,972275.8901,1.0,4105.0,7827.000000000001
ME_352c,861031.6305,2.0,0.0,1171.0
ME_352d,863166.9831,2.0,1332.0,1173.0
chem_3529,737301.1725,1.0,5685.0,5898.0
ME_3528,0.3627,2.0,1809.0,67164.0
chem_3525,1139843.0703,1.0,1365.0,9763.0
ME_3523,0.3712,2.0,476.00000000000006,67926.0
chem_3524,1029233.437,1.0,1810.0,9203.0
chem_3520,1180594.7577999998,1.0,885.0,9634.0
chem_351f,1179799.2847,1.0,351.0,10068.0
chem_351e,1185711.022,1.0,146.0,10146.0
chem_351d,731358.3827,1.0,4017.0000000000014,6136.0
chem_351c,954488.2655,1.0,1515.0,8484.0
ME_351b,0.3149,2.0,1746.0,65373.00000000001
ME_3519,8847617.592,2.0,0.0,65371.00000000001
chem_3517,926659.3314,1.0,1273.0,8216.0
chem_3518,707274.421,1.0,3773.0000000000014,5743.0
ME_351a,8830612.3633,2.0,0.0,65371.00000000001
chem_3516,1089650.2919,1.0,2.0,9389.0
ttni_349a,0.0,0.027777777777777776,0.0,47473.0
chem_3515,1029656.7761,1.0,2.0,9065.0
chem_3514,1047009.2685,1.0,1.0,8961.0
chem_3513,1011146.8899,1.0,1.0,8930.0
chem_3512,1026651.2649,1.0,2.0,8928.0
ME_3499,4.8833,5.0,566505.0,172700.0
chem_3511,2148462.2252,0.5,2450.0,104601.0
chem_3510,971473.9202,1.0,2.0,8774.0
ME_0338,0.3382,2.0,459.00000000000006,65465.00000000001
ME_0336,8840984.1809,2.0,0.0,65463.00000000001
ME_0337,8859703.8015,2.0,0.0,65463.00000000001
chem_0335,948321.6557,1.0,2.0,8310.0
chem_0334,918006.2117,1.0,2.0,8256.0
ME_02ff,255450.4238,1.1111111111111112,0.0,29654.000000000004
ME_0300,143479.6557,1.1111111111111112,0.0,29654.000000000004
ME_02fd,290113.5221,0.5555555555555556,0.0,32651.000000000004
ME_0301,0.1976,1.1111111111111112,52.0,29655.000000000004
ME_02fe,0.2188,0.5555555555555556,20.0,32652.000000000004
atms_0333,130520.9365,0.16666666666666666,1.0,34580.0
chem_0332,1044073.0032,1.0,28501.0,8798.0
chem_0331,1011260.7612,1.0,28347.0,8908.0
chem_0330,1028253.8329,1.0,28350.0,8884.0
chem_032f,1050796.0951,1.0,28342.0,8851.0
ME_032e,3789.4456,0.1388888888888889,1.0,39326.0
ME_032d,748703.6178,0.1388888888888889,0.0,39240.0
chem_032c,954351.4961,1.0,28349.0,8324.0
gucao_032b,0.0,0.027777777777777776,1.0,6673.0
chem_032a,952175.6152,1.0,28348.0,8188.000000000001
chem_0329,879312.3208,1.0,28686.0,7729.000000000001
chem_0328,959364.4008,1.0,28340.0,8056.000000000001
chem_0327,844709.4494,1.0,28820.0,7502.000000000001
chem_0326,891452.8502,1.0,28504.0,7763.000000000001
chem_0324,863530.2648,1.0,28499.0,7632.000000000001
chem_0325,875032.0653,1.0,28502.0,7721.000000000001
chem_0323,898869.6201,1.0,28341.0,7687.000000000001
chem_0322,830442.0083,1.0,28699.0,7290.0
