N_n,M_u,T_q,T_r,I_o
0.027777777777777776,0.0,429.0,51057.0,0.0
0.4444444444444444,4368.5524,3096.127,22.0,0.0057
0.027777777777777776,0.0,1.862,28237.0,0.0
0.8888888888888888,3262322.4521,229.884,7803.0,7129.299
1.0,48320080.7886,110987.0,68584.0,0.3959
0.8888888888888888,3124857.6114,180.526,7468.0,7129.299
1.0,71846.0643,464.747,7897.0,17.8592
1.0,65797.027,464.704,7653.0,17.4033
1.0,73809.5672,464.516,8136.0,18.0766
1.0,46702.9113,1501.625,5956.0,15.2464
1.0,63388.0297,1501.499,7265.0,16.6083
1.0,53341.0778,1501.3929999999998,6778.0,16.8172
1.0,70644.4137,1501.329,7908.0,17.8899
1.0,66731.598,1730.624,7244.0,16.3915
1.0,66388.4434,1833.422,7378.0,16.5361
1.0,69601.0202,7948.08,7554.0,16.9387
0.027777777777777776,452620.6467,1774.473,17441.0,94.1843
0.027777777777777776,450625.5999,2011.055,17265.0,94.1816
0.027777777777777776,451108.159,2016.443,17978.0,94.1816
0.027777777777777776,508293.1561,2439.681,19913.0,94.1816
0.027777777777777776,431841.287,4299.609,16601.0,94.1816
0.027777777777777776,478386.4902,4302.849,18094.0,94.1816
0.027777777777777776,431377.2885,4431.264,16442.0,94.1816
0.027777777777777776,427113.1485,4432.524,16430.0,94.1816
0.027777777777777776,456585.6724,4432.442,17134.0,94.1816
0.027777777777777776,434076.0096,4704.011,16716.0,94.1816
0.027777777777777776,474895.1334,4775.385,17399.0,94.1843
0.027777777777777776,450506.5374,4784.724,18006.0,94.1816
0.027777777777777776,448296.8504,4786.2959999999985,17788.0,94.1816
0.027777777777777776,443034.4275,4802.215,17604.0,94.1816
0.027777777777777776,435306.2764,4822.29,17445.0,94.1816
0.027777777777777776,463883.1773,4831.444,17904.0,94.1816
0.027777777777777776,435187.7457,4838.729,17347.0,94.1816
0.027777777777777776,454233.0806,4870.657,18227.0,94.1816
0.027777777777777776,437249.7482,4876.103,17582.0,94.1843
0.027777777777777776,449665.1702,4921.7840000000015,17817.0,94.1843
0.027777777777777776,476376.1346,4947.479,17690.0,94.1843
0.027777777777777776,509182.0843,4948.953,18601.0,94.1843
0.027777777777777776,480813.395,4943.071,17723.0,94.1843
0.027777777777777776,451185.6637,4947.063,18109.0,94.1843
0.027777777777777776,478161.8446,4948.794,18604.0,94.1843
0.027777777777777776,452547.9379,5014.874,17921.0,94.1843
0.027777777777777776,476039.5921,5029.5,18409.0,94.1843
0.027777777777777776,451109.2163,5034.916,17664.0,94.1843
0.027777777777777776,471467.8637,5045.788,18851.0,94.1843
0.027777777777777776,467114.9386,5077.416,18279.0,94.1843
0.027777777777777776,477352.2675,5273.303000000001,17774.0,94.1843
0.027777777777777776,432055.7784,5272.321,16649.0,94.1843
0.027777777777777776,456429.1985,5272.193,17309.0,94.1843
0.05555555555555555,169683.62829999998,2221.0,27180.0,3414.7818
0.027777777777777776,0.0,4.385,0.0,0.0
0.027777777777777776,87.4749,4.898,529.0,0.5106
0.027777777777777776,0.0,0.624,1.0,0.0
